clean,label,label_id,source_file
خداوند همه مریضان را شفای,Hope,0,BV
لطفا لطفا سر برغستان تشریف بیاورید یک بند بزرگ مردمی است یک نظر بدهید به قوما ده قریه را آب میدهد. ضمنا منطقه ایرگین بیروید,Hope,0,BV
ماشاالا خدا بته قوت,Happy,1,BV
یک سال پیش مه ای ره ساخته بودم,Neutral,2,BV
بنده به عنوان یک تاجیک و دانشجو و فعال فرهنگی، هر وقت به یاد مردم شریف ونجیب هزارستان می افتم، یقیناً به یاد علم و دانش و فرهنگ و هنر و نوآوری و اختراعات و اکتشافات نیز می افتم,Happy,1,BV
جناب نصار پشنهاد میکنم پروژه را مردم پیش بی برید یعنی ملا ارباب منطقه را دخیل نکنید با امید روزی که این بند پر از آب بیبنم و مردم را خوشحال انشاءالله,Suprise,3,BV
مردم جلریز خلی یک مردم نا جوان هست دوران دولت غنی کوچی خلی مردم بیگناه شهید کرد توسط طالب ها,Disgust,4,BV
ما شا الله به این نو نهال خوب وبا استعداد .فقط این نونهالان را تشویق کنیم تا خوبتر رشد وتقویت نماییم.,Happy,1,BV
ولادت با سعادت امیر المومنین حضرت علی ابن ابی طالب ع و همچنین روز پدر بر همه ی مسلمانان جهان مبارک باد,Happy,1,BV
این شعر ایرانی هستش,Neutral,2,BV
واقعا خیلی ابتکار خوب است نثار جان شما این ابتکار را نه تنها در منطقه بهسود بلکه در تمام منقطه هزارستان تشویق کنید در منطقه جرغی برجگی وسایر مناطق هزارستان رایج کنید واقعا من که خیلی خوشحال شدم,Happy,1,BV
خداوند عالم همراه تان,Happy,1,BV
درود خداوند بر مردمان خوب بهسود باشد,Hope,0,BV
یاد اش بخیر,Sad,5,BV
ایلاهی که پای غنی میده مشود که مردم عرب ما در بده در کرد,Anger,6,BV
نام بند را همبستگی ماندین ولی هیچ همبستگی ندارید، تنها در سویدن شاید یکهزار نفر از بهسود باشد هرکدام شان صد دالر کمک کند بند آباد میشود...,Sad,5,BV
